"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Juniperus"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	325	"AWI"	325	4561	5120	4863	2	348	2	0	4	7	0	85	0	0	0	0	0	436	3	0	0	0	7	0	74	0	0	0	0	1	3	59	0	0	0	0	0	288	0	0	0	1	0	2	1	1	0	63	60	0	1	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	330	"AWI"	330	4602	5161	4914	1	341	2	0	2	3	0	71	0	0	0	0	0	357	2	2	0	0	0	1	103	0	0	0	0	0	2	55	0	0	0	0	0	240	0	0	0	0	0	3	0	0	0	73	27	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	335	"AWI"	335	4666	5189	4960	3	340	0	0	2	4	0	81	0	0	0	0	0	351	9	1	0	0	2	0	92	0	0	0	0	0	1	48	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	76	31	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	340	"AWI"	340	4706	5233	5007	2	348	0	3	2	3	0	79	0	0	0	0	0	281	0	0	0	0	2	1	71	0	0	0	0	1	1	50	0	0	0	0	0	212	0	0	0	0	0	1	1	0	0	79	24	0	1	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	345	"AWI"	345	4764	5259	5055	4	350	0	0	1	1	0	88	0	0	0	0	0	318	1	0	0	0	0	0	76	0	0	0	0	1	1	54	0	0	0	0	0	215	0	0	0	0	0	2	1	0	0	80	36	0	1	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	350	"AWI"	350	4801	5299	5103	2	365	1	1	2	3	0	73	0	0	0	0	0	372	4	1	0	0	1	0	68	0	0	0	0	0	1	46	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	59	53	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	355	"AWI"	355	4876	5325	5148	5	369	0	0	2	3	0	84	0	0	1	0	0	473	4	1	0	0	0	0	90	0	0	0	0	0	1	52	0	0	0	0	0	247	0	0	0	0	0	0	2	1	0	78	64	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	360	"AWI"	360	4920	5366	5194	4	252	0	0	3	6	0	79	0	0	1	0	0	403	4	0	0	0	2	0	54	0	0	0	0	1	0	42	0	0	0	0	0	211	0	0	0	0	0	0	1	0	0	74	61	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	365	"AWI"	365	4988	5389	5238	3	351	4	0	2	4	0	132	0	0	0	0	0	410	1	0	0	0	3	0	51	0	0	0	0	0	1	39	0	0	0	0	0	240	0	0	0	0	0	0	0	1	0	38	103	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	370	"AWI"	370	5033	5427	5286	2	312	0	0	5	4	0	125	0	0	0	0	0	524	4	0	0	0	3	1	52	0	0	0	0	0	1	57	0	0	0	0	0	210	0	0	0	1	0	1	0	2	0	52	75	0	1	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	375	"AWI"	375	5124	5448	5323	0	275	0	0	8	3	0	88	0	0	0	0	0	397	2	0	0	0	0	1	53	0	0	0	0	0	0	40	0	0	0	0	0	199	0	0	0	0	0	3	0	2	0	42	51	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	380	"AWI"	380	5173	5478	5364	2	292	0	0	4	1	0	118	0	0	0	0	0	489	2	0	0	0	1	0	43	0	0	0	0	0	1	29	0	0	0	0	0	195	0	0	0	1	0	1	1	2	0	43	33	0	0	0
