"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juglans"	"Juniperus"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26142	45377	"Mustjärve bog"	59.075	24.1	280	"AWI"	280	3437	5182	4341	0	250	1	0	3	0	282	0	0	0	0	0	0	77	9	0	0	0	0	0	0	28	0	0	0	0	1	160	107	0	0	0	0	0	0	32	0	0	0	1	0	1	0	0	22	44	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	285	"AWI"	285	3498	5277	4429	0	244	1	0	3	0	313	0	0	0	0	0	1	106	2	0	0	0	0	0	0	19	0	0	0	0	1	102	93	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	33	42	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	290	"AWI"	290	3654	5313	4532	1	271	2	0	2	0	351	0	0	0	0	0	0	93	9	0	0	0	0	0	0	26	1	0	0	0	1	64	114	0	0	0	0	0	0	42	0	0	0	1	0	5	0	0	20	18	3	0
26142	45377	"Mustjärve bog"	59.075	24.1	295	"AWI"	295	3743	5358	4634	0	272	0	0	4	0	320	0	0	0	0	0	0	128	5	0	0	0	0	0	1	13	0	0	0	0	0	100	103	0	0	0	0	0	0	33	0	0	0	0	0	2	0	0	39	30	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	300	"AWI"	300	3825	5403	4733	1	152	1	0	3	0	248	0	0	0	0	0	0	63	8	0	0	0	0	0	0	15	0	1	0	0	1	68	109	0	0	0	1	0	0	43	0	0	0	0	0	2	0	0	25	42	1	0
26142	45377	"Mustjärve bog"	59.075	24.1	305	"AWI"	305	3912	5467	4836	0	336	1	0	4	0	295	0	0	0	0	0	0	96	0	0	0	0	0	1	0	13	0	0	0	0	0	64	80	0	0	0	1	0	0	36	0	0	0	0	0	0	0	0	23	57	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	310	"AWI"	310	3999	5576	4936	1	272	1	0	6	0	272	0	0	0	0	0	0	92	1	0	0	0	0	0	0	15	0	2	0	0	0	59	118	0	0	0	0	0	0	58	0	0	0	0	0	2	0	0	47	64	2	0
26142	45377	"Mustjärve bog"	59.075	24.1	315	"AWI"	315	4159	5604	5015	1	274	0	1	2	0	304	0	0	0	0	0	0	121	7	0	0	0	0	0	0	9	0	0	0	0	0	68	124	0	0	0	1	0	0	60	0	0	0	1	0	2	0	0	43	49	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	320	"AWI"	320	4296	5635	5094	0	259	0	1	4	0	281	0	0	0	0	0	0	76	11	0	0	0	0	0	0	20	0	2	0	0	1	78	136	0	0	0	0	0	0	47	0	0	0	0	0	5	0	0	29	60	5	0
26142	45377	"Mustjärve bog"	59.075	24.1	325	"AWI"	325	4400	5674	5184	0	321	1	0	3	0	242	0	0	0	0	0	0	164	2	0	0	0	0	0	0	5	0	1	0	0	0	33	110	0	0	0	0	0	0	42	0	0	0	2	0	0	0	0	33	51	0	0
