# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-10-09

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	aalba_subset1_rep1.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
145	58209	50.1	19.2	200	0.076	0.274	0.132	1.524	0.158	0.173	0.49	0.477	0.51	0.523	30
146	58210	50.1	19.3	199.999940824525	0.095	0.267	0.118	1.527	0.144	0.16	0.488	0.474	0.512	0.526	30
147	58211	50.1	19.4	199.999438152098	0.108	0.274	0.122	1.527	0.147	0.164	0.518	0.503	0.482	0.497	30
148	58212	50.1	19.5	199.999866630895	0.118	0.284	0.128	1.524	0.157	0.175	0.574	0.555	0.426	0.445	30
149	58213	50.1	19.6	200	0.127	0.288	0.132	1.521	0.16	0.18	0.606	0.585	0.394	0.415	30
150	58214	50.1	19.7	200	0.119	0.295	0.144	1.528	0.179	0.202	0.663	0.646	0.337	0.353	30
151	58215	50.1	19.8	200	0.107	0.292	0.146	1.528	0.181	0.202	0.644	0.628	0.356	0.372	30
152	58216	50.1	19.9	200	0.105	0.292	0.148	1.525	0.188	0.206	0.627	0.611	0.373	0.389	30
153	58217	50.1	20	200	0.098	0.296	0.156	1.522	0.201	0.214	0.621	0.605	0.379	0.395	30
154	58218	50.1	20.1	200	0.089	0.299	0.156	1.52	0.195	0.209	0.62	0.607	0.38	0.394	30
155	58219	50.1	20.2	200	0.08	0.289	0.149	1.515	0.183	0.195	0.602	0.589	0.398	0.411	30
156	58220	50.1	20.3	200	0.078	0.287	0.145	1.513	0.166	0.176	0.541	0.528	0.459	0.472	30
157	58221	50.1	20.4	200	0.076	0.274	0.133	1.514	0.151	0.165	0.5	0.488	0.501	0.512	30
158	58222	50.1	20.5	200	0.07	0.266	0.134	1.513	0.162	0.178	0.529	0.518	0.471	0.482	30
159	58223	50.1	20.6	200	0.064	0.263	0.128	1.512	0.157	0.174	0.498	0.489	0.502	0.511	30
160	58224	50.1	20.7	199.998872916792	0.063	0.258	0.119	1.517	0.14	0.156	0.457	0.448	0.543	0.552	30
161	58225	50.1	20.8	199.998326939518	0.065	0.261	0.124	1.52	0.141	0.156	0.45	0.441	0.55	0.559	30
162	58226	50.1	20.9	200	0.064	0.275	0.144	1.52	0.169	0.187	0.528	0.521	0.472	0.479	30
163	58227	50.1	21	200	0.066	0.276	0.144	1.523	0.168	0.189	0.53	0.524	0.47	0.476	30
164	58228	50.1	21.1	200	0.069	0.259	0.121	1.521	0.133	0.151	0.441	0.434	0.559	0.566	30
165	58229	50.1	21.2	200	0.074	0.254	0.109	1.522	0.109	0.125	0.395	0.386	0.604	0.614	30
166	58230	50.1	21.3	200	0.071	0.271	0.125	1.524	0.123	0.139	0.47	0.46	0.53	0.54	30
167	58231	50.1	21.4	200	0.073	0.277	0.134	1.527	0.146	0.162	0.527	0.515	0.472	0.485	30
168	58232	50.1	21.5	200	0.079	0.269	0.129	1.528	0.148	0.166	0.524	0.51	0.476	0.489	30
169	58233	50.1	21.6	200	0.083	0.269	0.125	1.525	0.141	0.16	0.521	0.509	0.479	0.491	30
170	58234	50.1	21.7	200	0.08	0.272	0.128	1.524	0.134	0.153	0.515	0.503	0.485	0.497	30
171	58235	50.1	21.8	200	0.081	0.272	0.124	1.523	0.131	0.149	0.511	0.499	0.489	0.501	30
172	58236	50.1	21.9	200	0.078	0.274	0.126	1.525	0.134	0.152	0.517	0.507	0.483	0.493	30
173	58237	50.1	22	200	0.073	0.269	0.126	1.528	0.139	0.155	0.499	0.49	0.501	0.51	30
174	58238	50.1	22.1	200	0.073	0.273	0.129	1.526	0.143	0.16	0.525	0.516	0.475	0.484	30
175	58239	50.1	22.2	200	0.076	0.271	0.123	1.523	0.138	0.155	0.521	0.512	0.479	0.488	30
176	58240	50.1	22.3	200	0.075	0.278	0.128	1.522	0.132	0.149	0.536	0.528	0.463	0.472	30
177	58241	50.1	22.4	199.999883000766	0.071	0.275	0.126	1.523	0.127	0.144	0.546	0.536	0.454	0.464	30
178	58242	50.1	22.5	199.999965460972	0.06	0.272	0.125	1.522	0.132	0.148	0.537	0.527	0.463	0.473	30
179	58243	50.1	22.6	200	0.053	0.271	0.124	1.522	0.137	0.154	0.524	0.513	0.476	0.487	30
180	58244	50.1	22.7	199.965628877036	0.063	0.266	0.12	1.52	0.123	0.136	0.443	0.431	0.557	0.569	30
181	58245	50.1	22.8	199.988657248623	0.069	0.262	0.113	1.512	0.12	0.135	0.429	0.417	0.57	0.583	30
182	58246	50.1	22.9	199.999234700002	0.081	0.258	0.108	1.508	0.107	0.121	0.408	0.396	0.591	0.604	30
183	58247	50.1	23	200	0.082	0.258	0.106	1.519	0.106	0.12	0.41	0.398	0.589	0.602	30
184	58248	50.1	23.1	200	0.085	0.263	0.113	1.516	0.113	0.127	0.438	0.426	0.562	0.574	30
185	58249	50.1	23.2	200	0.089	0.269	0.114	1.52	0.116	0.13	0.464	0.449	0.536	0.551	30
186	58250	50.1	23.3	200	0.093	0.273	0.113	1.514	0.114	0.127	0.476	0.461	0.524	0.539	30
187	58251	50.1	23.4	200	0.097	0.275	0.11	1.507	0.112	0.124	0.475	0.46	0.525	0.54	30
188	58252	50.1	23.5	199.99969863404	0.126	0.279	0.113	1.512	0.12	0.131	0.484	0.465	0.515	0.535	30
189	58253	50.1	23.6	199.992568452452	0.137	0.295	0.126	1.498	0.147	0.16	0.556	0.534	0.444	0.466	30
190	58254	50.1	23.7	199.995026030329	0.114	0.297	0.131	1.487	0.153	0.166	0.579	0.562	0.421	0.438	30
191	58255	50.1	23.8	199.998566415812	0.099	0.296	0.137	1.487	0.16	0.176	0.587	0.575	0.412	0.425	30
192	58256	50.1	23.9	200	0.091	0.295	0.139	1.501	0.157	0.173	0.574	0.561	0.425	0.438	30
193	58257	50.1	24	199.999632066681	0.081	0.286	0.131	1.504	0.155	0.17	0.554	0.544	0.446	0.456	30
194	58258	50.1	24.1	199.996619886966	0.089	0.287	0.129	1.506	0.142	0.156	0.511	0.501	0.489	0.499	30
195	58259	50.1	24.2	200	0.081	0.293	0.138	1.5	0.151	0.167	0.529	0.519	0.471	0.481	30
196	58260	50.1	24.3	200	0.077	0.3	0.147	1.5	0.167	0.184	0.574	0.564	0.426	0.436	30
197	58261	50.1	24.4	200	0.071	0.287	0.132	1.502	0.155	0.176	0.531	0.52	0.469	0.479	30
198	58262	50.1	24.5	200	0.068	0.295	0.132	1.505	0.144	0.171	0.487	0.479	0.513	0.521	30
199	58263	50.1	24.6	200	0.07	0.295	0.133	1.498	0.145	0.172	0.487	0.48	0.513	0.52	30
200	58264	50.1	24.7	199.999699038199	0.069	0.293	0.141	1.498	0.154	0.18	0.505	0.5	0.495	0.5	30
201	58265	50.1	24.8	199.997427540654	0.076	0.287	0.139	1.5	0.154	0.179	0.508	0.503	0.492	0.496	30
202	58266	50.1	24.9	199.99526468484	0.08	0.286	0.13	1.501	0.14	0.166	0.479	0.474	0.521	0.526	30
203	58267	50.1	25	199.996953364656	0.082	0.29	0.131	1.498	0.145	0.17	0.509	0.503	0.491	0.497	30
204	58268	50.1	25.1	199.992637387521	0.084	0.295	0.139	1.49	0.156	0.18	0.563	0.559	0.437	0.441	30
205	58269	50.1	25.2	199.995811742953	0.085	0.297	0.142	1.489	0.165	0.188	0.603	0.6	0.397	0.4	30
206	58270	50.1	25.3	200	0.085	0.306	0.154	1.489	0.173	0.194	0.631	0.628	0.369	0.372	30
