# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2022-12-19

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	CastaneaSpecies_08_2021.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/thesis/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
124	41161	54.2	24.4	199.984488209216	0.089	0.28	0.109	1.485	0.062	0.077	0.242	0.238	0.758	0.763	30
125	41162	54.2	24.5	199.994139363697	0.092	0.281	0.107	1.457	0.056	0.073	0.214	0.212	0.787	0.789	30
126	41163	54.2	24.6	199.969297061591	0.091	0.282	0.107	1.447	0.056	0.074	0.231	0.229	0.769	0.771	30
127	41164	54.2	24.7	199.894827067979	0.081	0.282	0.108	1.484	0.068	0.089	0.302	0.3	0.697	0.699	30
128	41165	54.2	24.8	199.885902381856	0.078	0.288	0.113	1.508	0.082	0.104	0.358	0.357	0.642	0.642	30
129	41166	54.2	24.9	199.987076927731	0.07	0.295	0.118	1.502	0.087	0.109	0.372	0.372	0.628	0.628	30
130	41167	54.2	25	199.986640127273	0.068	0.3	0.12	1.5	0.089	0.112	0.386	0.386	0.614	0.613	30
131	41168	54.2	25.1	199.990754064046	0.073	0.301	0.121	1.512	0.093	0.115	0.399	0.398	0.601	0.602	30
132	41169	54.2	25.2	199.990372065071	0.071	0.299	0.12	1.512	0.094	0.116	0.409	0.406	0.591	0.593	30
133	41170	54.2	25.3	199.976019874875	0.073	0.302	0.12	1.503	0.095	0.118	0.41	0.406	0.59	0.593	30
134	41171	54.2	25.4	199.924708884717	0.076	0.302	0.119	1.494	0.092	0.116	0.411	0.408	0.589	0.592	30
135	41172	54.2	25.5	199.851367481919	0.085	0.299	0.116	1.489	0.087	0.111	0.402	0.398	0.598	0.602	30
136	41173	54.2	25.6	199.919195510816	0.084	0.297	0.113	1.488	0.087	0.11	0.401	0.397	0.599	0.603	30
137	41174	54.2	25.7	199.975232246903	0.082	0.296	0.113	1.487	0.09	0.112	0.409	0.405	0.591	0.595	30
138	41175	54.2	25.8	199.832581056599	0.088	0.296	0.114	1.49	0.093	0.113	0.413	0.407	0.586	0.593	30
139	41176	54.2	25.9	199.802060136933	0.093	0.298	0.116	1.5	0.097	0.116	0.438	0.431	0.562	0.569	30
140	41177	54.2	26	199.92647136552	0.094	0.302	0.119	1.502	0.097	0.12	0.462	0.455	0.538	0.545	30
141	41178	54.2	26.1	199.955685069708	0.094	0.305	0.122	1.496	0.102	0.127	0.484	0.478	0.516	0.522	30
142	41179	54.2	26.2	199.893773960393	0.094	0.307	0.123	1.503	0.113	0.138	0.508	0.502	0.492	0.497	30
143	41180	54.2	26.3	199.867929458704	0.088	0.305	0.121	1.485	0.115	0.135	0.493	0.486	0.506	0.514	30
144	41181	54.2	26.4	199.845115393095	0.085	0.305	0.122	1.469	0.114	0.13	0.481	0.473	0.519	0.527	30
145	41182	54.2	26.5	199.873775920498	0.084	0.306	0.125	1.466	0.118	0.132	0.498	0.49	0.502	0.51	30
146	41183	54.2	26.6	199.965566018638	0.084	0.315	0.128	1.456	0.116	0.131	0.498	0.489	0.502	0.511	30
147	41184	54.2	26.7	199.952695463752	0.09	0.316	0.127	1.454	0.119	0.133	0.491	0.483	0.509	0.517	30
148	41185	54.2	26.8	199.966234501611	0.095	0.312	0.126	1.461	0.119	0.133	0.481	0.473	0.519	0.527	30
149	41186	54.2	26.9	199.913118414627	0.1	0.304	0.121	1.457	0.11	0.124	0.453	0.446	0.546	0.554	30
150	41187	54.2	27	199.774687309898	0.109	0.304	0.118	1.469	0.11	0.125	0.461	0.452	0.539	0.548	30
151	41188	54.2	27.1	199.904567306006	0.102	0.307	0.122	1.45	0.116	0.13	0.483	0.476	0.517	0.524	30
152	41189	54.2	27.2	199.985464803447	0.094	0.305	0.12	1.452	0.106	0.12	0.455	0.446	0.545	0.553	30
153	41190	54.2	27.3	199.968782603982	0.099	0.301	0.115	1.454	0.101	0.114	0.451	0.44	0.549	0.56	30
154	41191	54.2	27.4	199.981796002885	0.101	0.302	0.114	1.439	0.099	0.112	0.46	0.448	0.54	0.552	30
155	41192	54.2	27.5	199.927422877767	0.11	0.307	0.115	1.452	0.097	0.109	0.467	0.451	0.533	0.549	30
156	41193	54.2	27.6	199.966196919421	0.108	0.309	0.118	1.438	0.1	0.111	0.47	0.455	0.53	0.545	30
157	41194	54.2	27.7	199.994654465627	0.101	0.312	0.121	1.444	0.113	0.126	0.504	0.49	0.496	0.51	30
158	41195	54.2	27.8	199.995051688886	0.1	0.316	0.126	1.446	0.119	0.131	0.518	0.505	0.483	0.496	30
159	41196	54.2	27.9	199.911927293605	0.092	0.311	0.119	1.458	0.111	0.124	0.51	0.499	0.49	0.501	30
160	41197	54.2	28	199.982676577117	0.082	0.305	0.115	1.441	0.098	0.111	0.462	0.452	0.538	0.548	30
161	41198	54.2	28.1	199.945220210188	0.069	0.303	0.113	1.408	0.083	0.095	0.414	0.404	0.586	0.596	30
162	41199	54.2	28.2	199.992537422816	0.066	0.3	0.11	1.439	0.081	0.093	0.369	0.36	0.631	0.64	30
163	41200	54.2	28.3	199.986950146552	0.057	0.299	0.112	1.445	0.082	0.094	0.366	0.357	0.633	0.643	30
164	41201	54.2	28.4	199.996097698302	0.065	0.298	0.112	1.45	0.082	0.093	0.372	0.362	0.627	0.638	30
165	41202	54.2	28.5	199.986811522524	0.075	0.298	0.117	1.468	0.092	0.102	0.394	0.383	0.606	0.617	30
166	41203	54.2	28.6	199.995600041578	0.069	0.298	0.113	1.438	0.09	0.1	0.388	0.377	0.612	0.623	30
167	41204	54.2	28.7	199.962016950712	0.074	0.302	0.115	1.456	0.095	0.108	0.413	0.401	0.587	0.599	30
168	41205	54.2	28.8	200	0.063	0.309	0.121	1.464	0.109	0.123	0.472	0.46	0.528	0.54	30
169	41206	54.2	28.9	199.997181927091	0.067	0.309	0.121	1.457	0.107	0.121	0.464	0.452	0.536	0.548	30
170	41207	54.2	29	199.982355714221	0.075	0.299	0.108	1.429	0.076	0.09	0.361	0.349	0.639	0.651	30
171	41208	54.2	29.1	199.997090783867	0.076	0.298	0.107	1.44	0.077	0.091	0.368	0.355	0.632	0.644	30
172	41209	54.2	29.2	199.99981102997	0.083	0.295	0.105	1.449	0.081	0.095	0.378	0.365	0.622	0.635	30
173	41210	54.2	29.3	199.985029706445	0.086	0.298	0.107	1.427	0.085	0.099	0.386	0.373	0.614	0.627	30
174	41211	54.2	29.4	199.946219391844	0.081	0.302	0.109	1.403	0.091	0.105	0.393	0.382	0.607	0.618	30
175	41212	54.2	29.5	199.982276412254	0.074	0.3	0.11	1.417	0.099	0.113	0.421	0.408	0.579	0.592	30
176	41213	54.2	29.6	199.998038690477	0.068	0.309	0.119	1.417	0.115	0.131	0.484	0.47	0.516	0.53	30
177	41214	54.2	29.7	199.997375174323	0.061	0.314	0.128	1.423	0.136	0.152	0.567	0.554	0.433	0.446	30
178	41215	54.2	29.8	199.978408125406	0.063	0.316	0.129	1.441	0.144	0.159	0.581	0.569	0.419	0.431	30
179	41216	54.2	29.9	199.965679032282	0.065	0.315	0.129	1.436	0.147	0.162	0.576	0.564	0.424	0.437	30
180	41217	54.2	30	199.996408826429	0.068	0.315	0.13	1.43	0.145	0.16	0.563	0.549	0.437	0.451	30
181	41218	54.2	30.1	199.987750331744	0.074	0.314	0.129	1.432	0.146	0.159	0.569	0.553	0.432	0.448	30
182	41219	54.2	30.2	199.990485693598	0.072	0.315	0.131	1.434	0.151	0.166	0.586	0.571	0.414	0.43	30
183	41220	54.2	30.3	199.99507458894	0.07	0.313	0.13	1.446	0.15	0.165	0.577	0.563	0.424	0.438	30
184	41221	54.2	30.4	199.992114907029	0.075	0.318	0.133	1.444	0.147	0.161	0.57	0.555	0.43	0.445	30
185	41222	54.2	30.5	199.996122493432	0.073	0.32	0.135	1.442	0.151	0.166	0.583	0.568	0.417	0.433	30
186	41223	54.2	30.6	199.996075268664	0.066	0.319	0.133	1.428	0.155	0.17	0.586	0.572	0.414	0.428	30
187	41224	54.2	30.7	199.989693654664	0.063	0.32	0.135	1.415	0.153	0.168	0.58	0.568	0.42	0.432	30
188	41225	54.2	30.8	199.991139555896	0.062	0.32	0.134	1.412	0.149	0.165	0.555	0.541	0.445	0.459	30
189	41226	54.2	30.9	199.996897707734	0.064	0.32	0.129	1.41	0.144	0.16	0.532	0.519	0.468	0.481	30
190	41227	54.2	31	199.986918883463	0.06	0.315	0.131	1.411	0.154	0.168	0.562	0.551	0.438	0.449	30
191	41228	54.2	31.1	199.992038351026	0.055	0.317	0.135	1.41	0.157	0.171	0.573	0.562	0.427	0.438	30
192	41229	54.2	31.2	199.9388815576	0.064	0.318	0.133	1.421	0.146	0.164	0.548	0.537	0.452	0.463	30
193	41230	54.2	31.3	199.964750050296	0.062	0.322	0.135	1.417	0.156	0.174	0.571	0.562	0.429	0.439	30
194	41231	54.2	31.4	199.998451501103	0.051	0.326	0.138	1.42	0.174	0.19	0.604	0.594	0.397	0.407	30
195	41232	54.2	31.5	199.998569015862	0.044	0.326	0.14	1.43	0.17	0.189	0.61	0.6	0.391	0.4	30
196	41233	54.2	31.6	199.9995210361	0.036	0.326	0.139	1.414	0.155	0.175	0.582	0.574	0.418	0.426	30
197	41318	54.1	-9.8	196.63136449972	0.166	0.325	0.128	1.273	0.104	0.108	0.399	0.389	0.601	0.611	30
198	41319	54.1	-9.7	195.285585698013	0.222	0.334	0.128	1.21	0.123	0.123	0.422	0.409	0.577	0.59	30
199	41320	54.1	-9.6	193.756357866465	0.212	0.328	0.124	1.245	0.132	0.137	0.444	0.439	0.556	0.561	30
