"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Agathis"	"Arecaceae"	"Casuarinaceae"	"Cunoniaceae"	"Dacrydium"	"Elaeocarpaceae"	"Eucalyptus"	"Myrtaceae"	"Phyllocladus"	"Poaceae"	"Podocarpus"	"Rutaceae"	"Urticaceae"
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2825	"AWI"	2825	83570	100713	91603	4.5045045045045	26.1261261261261	5.40540540540541	9.90990990990991	6.30630630630631	9.90990990990991	2.7027027027027	16.2162162162162	0	1.8018018018018	7.20720720720721	3.6036036036036	6.30630630630631
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2850	"AWI"	2850	84329	101607	92303	7.76699029126214	14.5631067961165	3.88349514563107	2.9126213592233	8.7378640776699	5.8252427184466	5.8252427184466	22.3300970873786	0	0	12.621359223301	1.94174757281553	13.5922330097087
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2875	"AWI"	2875	85114	102187	93076	1.75438596491228	21.0526315789474	1.75438596491228	2.63157894736842	7.01754385964912	0	0	58.7719298245614	0	0	4.3859649122807	1.75438596491228	0.87719298245614
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2900	"AWI"	2900	85694	103063	93783	1.88679245283019	32.0754716981132	3.77358490566038	1.88679245283019	12.2641509433962	2.83018867924528	2.83018867924528	27.3584905660377	0	2.83018867924528	7.54716981132075	0	4.71698113207547
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2925	"AWI"	2925	86232	104122	94529	1.8348623853211	41.2844036697248	5.5045871559633	6.42201834862385	8.25688073394496	0.917431192660551	3.6697247706422	17.4311926605505	0	0.917431192660551	7.3394495412844	1.8348623853211	4.58715596330275
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2950	"AWI"	2950	86863	104996	95242	3.17460317460317	23.8095238095238	7.93650793650794	7.93650793650794	3.96825396825397	3.96825396825397	7.14285714285714	23.8095238095238	0	3.96825396825397	6.34920634920635	0	7.93650793650794
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2975	"AWI"	2975	87614	105564	95964	3.96039603960396	24.7524752475248	1.98019801980198	1.98019801980198	6.93069306930693	2.97029702970297	6.93069306930693	27.7227722772277	0	2.97029702970297	7.92079207920792	0.99009900990099	10.8910891089109
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3000	"AWI"	3000	88211	106358	96701	2.89855072463768	24.6376811594203	2.89855072463768	5.79710144927536	10.1449275362319	2.89855072463768	4.34782608695652	23.1884057971014	0	1.44927536231884	8.69565217391304	1.44927536231884	11.5942028985507
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3025	"AWI"	3025	88734	107409	97436	3.2258064516129	25.8064516129032	3.2258064516129	3.2258064516129	9.67741935483871	0	4.83870967741935	32.258064516129	1.61290322580645	1.61290322580645	8.06451612903226	1.61290322580645	4.83870967741935
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3050	"AWI"	3050	89225	108239	98135	4.83870967741935	30.6451612903226	4.83870967741935	4.03225806451613	4.83870967741935	4.03225806451613	5.64516129032258	31.4516129032258	0	0.806451612903226	2.41935483870968	0	6.45161290322581
